Symbol,Market Cap,Sector,Industry
AMG,7489186754,Finance,Investment Managers
AMH,13338135626,Consumer Services,Real Estate Investment Trusts
AMH^F,,,
AMH^G,,,
AMH^H,,,
AMK,1864376631,Finance,Investment Managers
AMN,4698773055,Health Care,Assisted Living Services
AMOV,49456978641,Public Utilities,Telecommunications Equipment
AMP,29167462800,Finance,Investment Managers
AMPI,351436406,,
AMPY,147728671,Energy,Oil & Gas Production
AMR,442648311,Energy,Coal Mining
AMRC,3346933344,Basic Industries,Water Supply
AMRX,715345783,Health Care,Major Pharmaceuticals
AMT,1.2731E+11,Consumer Services,Real Estate Investment Trusts
AMWL,2877932253,Technology,Retail: Computer Software & Peripheral Equipment
AMX,49456978641,Public Utilities,Telecommunications Equipment
AN,8519591734,Consumer Services,Other Specialty Stores
ANAC,384639063,Finance,Business Services
ANET,28307761184,Technology,Computer peripheral equipment
ANF,2746418402,Consumer Services,Clothing/Shoe/Accessory Stores
ANTM,96966692610,Health Care,Medical Specialities
AOD,1084344659,Finance,Investment Managers
AOMR,456503646,,
AON,52528423328,Finance,Specialty Insurers
AONE,267137500,Finance,Business Services
AOS,11422879797,Capital Goods,Industrial Machinery/Components
AP,116911763,Capital Goods,Metal Fabrications
APAM,4103000253,Finance,Investment Managers
APD,64413514791,Basic Industries,Major Chemicals
APG,4315490947,Basic Industries,Engineering & Construction
APGB,844387500,Finance,Business Services
APH,42054218216,Capital Goods,Electrical Products
APLE,3388392400,Consumer Services,Real Estate Investment Trusts
APO,14245823891,Finance,Investment Managers
APO^A,,,
APO^B,,,
APRN,95807181,Consumer Services,Catalog/Specialty Distribution
APSG,1000592250,Finance,Business Services
APTS,519480992,Consumer Services,Real Estate Investment Trusts
APTV,42873754971,Capital Goods,Auto Parts:O.E.M.
APTV^A,,,
AQN,9232688175,Public Utilities,Electric Utilities: Central
AQNA,0,Public Utilities,Electric Utilities: Central
AQNB,0,Public Utilities,Electric Utilities: Central
AQNU,0,Public Utilities,Electric Utilities: Central
AQUA,3919545122,Capital Goods,Office Equipment/Supplies/Services
AR,4567536085,Energy,Oil & Gas Production
ARC,89257365,Miscellaneous,Business Services
ARCH,924985051,Energy,Coal Mining
ARCO,1210432114,Consumer Services,Restaurants
ARD,5869067100,Consumer Durables,Containers/Packaging
ARDC,371222012,Finance,Investment Managers
ARE,28111751607,Consumer Services,Real Estate Investment Trusts
ARES,10525635102,Finance,Investment Managers
ARGD,0,Finance,Specialty Insurers
ARGO,1858815892,Finance,Specialty Insurers
ARGO^A,,,
ARI,2210168148,Consumer Services,Real Estate Investment Trusts
ARL,178641596,Consumer Services,Building operators
ARLO,512847635,Miscellaneous,Diversified Manufacture
ARMK,9182996072,Consumer Services,Restaurants
ARNC,3955649609,Technology,Industrial Machinery/Components
AROC,1351053633,Energy,Oil & Gas Production
ARR,827855582,Consumer Services,Real Estate Investment Trusts
ARR^C,,,
ARW,8347074410,Technology,Electronic Components
ASA,396793346,Basic Industries,Precious Metals
ASAI,4471735042,Consumer Services,Food Chains
ASAN,10953481364,Technology,Retail: Computer Software & Peripheral Equipment
ASAQ,304375000,,
ASB,3088250084,Finance,Major Banks
ASB^D,,,
ASB^E,,,
ASB^F,,,
ASC,128674540,Transportation,Marine Transportation
ASG,368436410,Finance,Investment Managers
ASGI,187131803,Finance,Investment Managers
ASGN,5154016000,Technology,Diversified Commercial Services
ASH,5368488027,Basic Industries,Specialty Chemicals
ASIX,837885043,Basic Industries,Major Chemicals
ASPL,296686071,Transportation,Transportation Services
ASPN,1026279846,Capital Goods,Wholesale Distributors
ASR,5587500000,Transportation,Aerospace
ASX,17699661702,Technology,Semiconductors
ASZ,1924114275,,
ATA,145145000,Finance,Business Services
ATAQ,189599063,,
ATC,4812097936,Basic Industries,Major Chemicals
ATCO,3418337558,Transportation,Marine Transportation
ATCO^D,,,
ATCO^H,,,
ATCO^I,,,
ATEN,876984683,Technology,EDP Services
ATGE,1874667340,Miscellaneous,Other Consumer Services
ATH,12869778146,Finance,Life Insurance
ATH^A,,,
ATH^B,,,
ATH^C,,,
ATH^D,,,
ATHM,7671243858,,
ATHN,333988337,Finance,Business Services
ATI,2807371799,Basic Industries,Steel/Iron Ore
ATIP,1828231968,Health Care,Hospital/Nursing Management
ATKR,3268697542,Technology,Electrical Products
ATMR,420468750,Finance,Business Services
ATO,12994018111,Public Utilities,Oil/Gas Transmission
ATR,9227692717,Capital Goods,Office Equipment/Supplies/Services
ATTO,391650000,Public Utilities,Telecommunications Equipment
ATUS,16088912399,Consumer Services,Television Services
AU,8045020336,Basic Industries,Precious Metals
AUD,567166693,Consumer Services,Broadcasting
AUS,975857157,,
AUY,3968402687,Basic Industries,Precious Metals
AVA,2950019502,Public Utilities,Power Generation
AVAL,6428073445,Finance,Commercial Banks
AVAN,733500000,Finance,Business Services
AVB,31267250549,Consumer Services,Real Estate Investment Trusts
AVD,529632960,Basic Industries,Agricultural Chemicals
AVK,683599396,Finance,Trusts Except Educational Religious and Charitable
AVLR,13592632427,Technology,EDP Services
AVNS,1760405905,Health Care,Industrial Specialties
AVNT,4404184550,Basic Industries,Major Chemicals
AVTR,21085046437,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AVTR^A,,,
AVY,17467316413,Miscellaneous,Office Equipment/Supplies/Services
AVYA,2228509775,Technology,Retail: Computer Software & Peripheral Equipment
AWF,1068385698,Finance,Trusts Except Educational Religious and Charitable
AWI,5235019521,Consumer Non-Durables,Plastic Products
AWK,29575849564,Public Utilities,Water Supply
AWP,565400636,Finance,Trusts Except Educational Religious and Charitable
AWR,3055290417,Public Utilities,Water Supply
AX,2771167487,Finance,Savings Institutions
AXL,1185478757,Capital Goods,Auto Parts:O.E.M.
AXP,1.39453E+11,Finance,Investment Bankers/Brokers/Service
AXR,79711888,Consumer Services,Building operators
AXS,4215123204,Finance,Property-Casualty Insurers
AXS^E,,,
AXTA,7088582870,Basic Industries,Paints/Coatings
AYI,6242138205,Consumer Durables,Building Products
AYX,5360950530,Technology,Computer Software: Prepackaged Software
AZEK,6649107807,,
AZO,33987923518,,
AZRE,1269963599,Public Utilities,Electric Utilities: Central
AZUL,2841022055,Transportation,Air Freight/Delivery Services
AZZ,1377060061,Capital Goods,Industrial Machinery/Components
B,2573683401,Capital Goods,Office Equipment/Supplies/Services
BA,1.39354E+11,Capital Goods,Aerospace
BABA,5.57365E+11,Consumer Services,Catalog/Specialty Distribution
BAC,3.50525E+11,Finance,Major Banks
BAC^B,,,
BAC^E,,,
BAC^K,,,
BAC^L,,,
BAC^M,,,
BAC^N,,,
BAC^O,,,
BAC^P,,,
BAH,12040192326,Consumer Services,Professional Services
BAK,9328515567,Basic Industries,Major Chemicals
BALY,2336793401,Consumer Services,Recreational Products/Toys
BAM,80489318631,Miscellaneous,Other Consumer Services
BAMH,0,Consumer Services,Building operators
BAMI,0,Consumer Services,Building operators
BAMR,0,,
BANC,863110063,Finance,Major Banks
BANC^E,,,
BAP,9614390940,Finance,Major Banks
BARK,1572306184,,
BAX,40635469554,Health Care,Medical/Dental Instruments
BB,6372137093,Technology,Computer Software: Prepackaged Software
BBAR,678009998,Finance,Commercial Banks
BBD,51530559890,Finance,Commercial Banks
BBDC,703454235,Finance,Investment Managers
BBDO,44153778495,Finance,Commercial Banks
BBL,1.5922E+11,Energy,Coal Mining
BBN,1524664375,Finance,Finance Companies
BBU,3797346934,Capital Goods,Building Products
BBVA,41491093393,Finance,Commercial Banks
BBW,250135103,Consumer Services,Recreational Products/Toys
BBY,27865120471,Consumer Services,Consumer Electronics/Video Chains
BC,7765628791,Consumer Non-Durables,Recreational Products/Toys
BC^A,,,
BC^B,,,
BC^C,,,
BCAT,2511797142,Finance,Finance/Investors Services
BCC,2335856628,Capital Goods,Wholesale Distributors
BCE,45058870062,,
BCEI,1472068246,Energy,Oil & Gas Production
BCH,9409741095,Finance,Commercial Banks
BCO,3918642840,Transportation,Oil Refining/Marketing
BCS,41554297355,Finance,Commercial Banks
BCSF,1007816957,Finance,Finance/Investors Services
BCX,808974505,Finance,Finance/Investors Services
BDC,2246336554,Basic Industries,Telecommunications Equipment
BDJ,1891654924,Finance,Finance Companies
